,date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
0,2012-01-01,2012,01,01,46.6,38.2,1015.2,10.0,5.2,13.0,17.1,51.1,35.6,0.01,999.9,0
1,2012-01-02,2012,01,02,42.1,25.6,1006.7,9.8,8.9,18.1,22.9,51.1,36.0,0.05,999.9,0
2,2012-01-03,2012,01,03,28.5,12.4,1011.7,10.0,8.8,15.0,24.1,39.9,21.9,0.0,999.9,0
3,2012-01-04,2012,01,04,18.4,1.1,1020.4,10.0,7.2,22.0,999.9,27.0,12.9,0.0,999.9,0
4,2012-01-05,2012,01,05,31.6,15.4,1013.2,10.0,5.8,13.0,18.1,39.9,27.0,0.0,999.9,0
5,2012-01-06,2012,01,06,41.8,25.4,1011.4,9.8,6.0,12.0,14.0,52.0,32.0,0.0,999.9,0
6,2012-01-07,2012,01,07,52.9,31.0,1008.1,10.0,5.6,11.1,19.0,62.1,43.0,0.0,999.9,0
7,2012-01-08,2012,01,08,44.3,25.2,1019.4,10.0,7.1,13.0,17.1,57.0,37.9,0.0,999.9,0
8,2012-01-09,2012,01,09,35.0,17.9,1024.8,10.0,3.1,12.0,999.9,41.0,30.9,0.0,999.9,0
9,2012-01-10,2012,01,10,39.5,25.1,1014.0,9.2,6.3,11.1,15.9,46.9,33.1,0.0,999.9,0
10,2012-01-11,2012,01,11,42.1,27.3,1016.8,10.0,4.4,15.0,15.9,46.9,36.0,0.0,999.9,0
11,2012-01-12,2012,01,12,43.1,39.8,1004.2,5.7,9.0,26.0,35.0,50.0,41.0,0.95,999.9,0
12,2012-01-13,2012,01,13,38.8,32.0,998.9,6.9,8.3,35.0,999.9,51.1,28.9,0.59,999.9,0
13,2012-01-14,2012,01,14,29.6,15.4,1012.1,10.0,8.3,25.1,26.0,35.1,28.0,0.09,999.9,0
14,2012-01-15,2012,01,15,22.1,2.3,1025.7,10.0,7.6,19.0,21.0,32.0,15.1,0.0,999.9,0
15,2012-01-16,2012,01,16,22.9,6.1,1033.3,10.0,4.3,15.0,17.1,35.1,15.1,0.0,999.9,0
16,2012-01-17,2012,01,17,39.8,34.6,1023.6,7.6,6.6,19.0,22.9,48.0,35.1,0.08,999.9,0
