date,weekday_num,temp,slp,wdsp,collisions
2013-01-01,2,38.0,1008.8,15.0,225.0
2013-01-02,3,27.5,1013.4,12.4,311.0
2013-01-03,4,21.8,1018.1,9.8,375.0
2013-01-04,5,32.2,1015.2,11.3,413.0
2013-01-05,6,37.3,1017.3,13.2,219.0
2013-01-06,0,35.7,1019.7,5.9,317.0
2013-01-07,1,35.9,1020.5,8.5,401.0
2013-01-08,2,39.8,1028.8,10.4,402.0
2013-01-09,3,39.9,1026.2,5.3,384.0
2013-01-10,4,43.5,1024.0,14.7,439.0
2013-01-11,5,38.0,1030.6,5.4,199.0
2013-01-12,6,42.7,1022.6,7.9,376.0
2013-01-13,0,45.4,1020.7,5.8,170.0
2013-01-14,1,47.2,1017.5,8.2,422.0
2013-01-15,2,42.3,1023.1,8.0,418.0
2013-01-16,3,41.6,1018.3,8.8,306.0
2013-01-17,4,39.4,1014.2,8.6,397.0
2013-01-18,5,28.1,1023.2,15.0,290.0
2013-01-19,6,35.9,1026.4,15.3,379.0
2013-01-20,0,46.3,1010.0,14.9,189.0
2013-01-21,1,31.2,1015.5,10.1,99.0
2013-01-22,2,26.3,1011.1,10.8,402.0
2013-01-23,3,16.2,1018.6,15.6,431.0
2013-01-24,4,14.3,1018.7,15.5,449.0
2013-01-25,5,19.0,1023.1,13.6,125.0
2013-01-26,6,24.4,1016.4,10.5,458.0
2013-01-27,0,21.7,1025.6,16.3,339.0
2013-01-28,1,27.3,1028.9,7.4,404.0
2013-01-29,2,35.4,1019.0,4.9,422.0
2013-01-30,3,45.1,1013.9,12.4,395.0
2013-01-31,4,46.5,995.5,23.1,459.0
2013-02-01,5,33.1,1007.0,18.2,335.0
2013-02-02,6,27.6,1020.9,12.5,371.0
2013-02-03,0,30.7,1012.0,9.8,285.0
2013-02-04,1,29.0,1008.3,15.5,433.0
2013-02-05,2,28.7,1014.6,8.2,311.0
2013-02-06,3,34.8,1014.9,6.1,430.0
2013-02-07,4,29.4,1028.7,10.2,429.0
2013-02-08,5,34.3,1026.0,16.3,113.0
2013-02-09,6,29.2,997.4,35.3,158.0
2013-02-10,0,24.7,1024.4,16.4,189.0
2013-02-11,1,36.4,1022.1,9.8,370.0
2013-02-12,2,41.4,1006.1,11.9,400.0
2013-02-13,3,36.1,1010.6,7.7,443.0
2013-02-14,4,36.6,1010.5,8.9,320.0
2013-02-15,5,38.6,1017.0,6.0,337.0
2013-02-16,6,39.2,1012.3,8.6,362.0
2013-02-17,0,30.9,998.1,23.6,354.0
2013-02-18,1,24.6,1010.5,22.0,89.0
2013-02-19,2,36.7,1019.0,10.6,388.0
2013-02-20,3,38.7,1004.5,16.9,395.0
2013-02-21,4,30.6,1009.7,17.3,394.0
2013-02-22,5,35.4,1022.3,14.2,419.0
2013-02-23,6,36.3,1022.9,7.0,418.0
2013-02-24,0,42.6,1004.7,17.1,250.0
2013-02-25,1,37.5,1015.7,13.4,391.0
2013-02-26,2,35.0,1025.2,5.0,414.0
2013-02-27,3,44.1,1014.7,18.0,435.0
