date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2012-07-01,83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,,0,43,140,122,117,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-07-02,80.3,54.1,1011.6,10,3.8,15,,88,66.9,0,,0,72,146,122,107,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-07-03,79.8,56.7,1012.8,10,2.9,12,,88,63,0,,0,75,176,155,154,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-07-04,81.8,65.6,1009.1,9.2,3.6,11.1,,91,68,0.06,,0,53,104,71,108,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-07-05,86.7,64.3,1007.4,9.4,3.8,15,,93.9,70,,,0,62,158,114,141,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-07-06,81.9,62.3,1011.7,10,3.1,9.9,,91,66.9,0,,0,60,143,154,152,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-07-07,84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,,0,53,117,106,114,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-07-08,80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,,0,52,127,73,110,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-07-09,78.5,56.8,1012.7,10,3.5,9.9,,84,68,0.09,,0,59,124,110,133,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-07-10,76.5,56.3,1016,10,3.4,9.9,,86,61,0,,0,45,138,133,109,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-07-11,77.1,62,1019.9,10,1.9,7,,84,64.9,0,,0,58,150,117,128,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-07-12,77.4,60.2,1021.7,10,2.3,7,,88,57,0,,0,55,164,138,104,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-07-13,78.9,60.7,1021.8,9.9,3,7,,87.1,63,0,,0,70,155,134,118,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-07-14,78.5,62.7,1021.6,10,3.5,13,19,82,68,0,,1,58,130,114,113,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-07-15,79.7,68.6,1018.3,9.1,2.8,13,,87.1,70,0,,0,50,122,112,101,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-07-16,79,67.9,1011.5,9.2,4,14,22,91,70,0.26,,0,53,156,114,116,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-07-17,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70,0,,0,59,152,142,159,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-07-18,85.3,69.1,1008.9,7.2,3.7,13,20,100,73,0,,1,68,118,131,123,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
