date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-01-01,38.0,1008.8,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09722222222222221
2013-01-02,27.5,1013.4,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49874686716791977
2013-01-03,21.8,1018.1,9.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5274296853244221
2013-01-04,32.2,1015.2,11.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6455026455026456
2013-01-05,37.3,1017.3,13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09523809523809523
2013-01-06,35.7,1019.7,5.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11805555555555555
2013-01-07,35.9,1020.5,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5651280980228349
2013-01-08,39.8,1028.8,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5675125313283208
2013-01-09,39.9,1026.2,5.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5053432191590086
2013-01-10,43.5,1024.0,14.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7420460874408242
2013-01-11,38.0,1030.6,5.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4732142857142857
2013-01-12,42.7,1022.6,7.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4373955722639933
2013-01-13,45.4,1020.7,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01364522417153996
2013-01-14,47.2,1017.5,8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6960804789752157
2013-01-15,42.3,1023.1,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6418476747424116
2013-01-16,41.6,1018.3,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5420495683653579
2013-01-17,39.4,1014.2,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5238443330548593
2013-01-18,28.1,1023.2,15.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3906641604010025
2013-01-19,35.9,1026.4,15.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4311299081035923
2013-01-20,46.3,1010.0,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08928571428571427
2013-01-21,31.2,1015.5,10.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03070175438596491
2013-01-22,26.3,1011.1,10.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5666074909495962
2013-01-23,16.2,1018.6,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6798941798941799
2013-01-24,14.3,1018.7,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8050160122528545
2013-01-25,19.0,1023.1,13.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23148148148148148
2013-01-26,24.4,1016.4,10.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8822055137844612
2013-01-27,21.7,1025.6,16.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22305764411027568
2013-01-28,27.3,1028.9,7.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5516221108326371
2013-01-29,35.4,1019.0,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6653613199665831
2013-01-30,45.1,1013.9,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4989383180172654
2013-01-31,46.5,995.5,23.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8427492341966026
2013-02-01,33.1,1007.0,18.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5222222222222223
2013-02-02,27.6,1020.9,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4712962962962963
2013-02-03,30.7,1012.0,9.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2874074074074074
2013-02-04,29.0,1008.3,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6401851851851852
2013-02-05,28.7,1014.6,8.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4683333333333333
2013-02-06,34.8,1014.9,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5957407407407407
2013-02-07,29.4,1028.7,10.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5833333333333334
2013-02-08,34.3,1026.0,16.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.15
2013-02-09,29.2,997.4,35.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1388888888888889
2013-02-10,24.7,1024.4,16.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2013-02-11,36.4,1022.1,9.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24907407407407406
2013-02-12,41.4,1006.1,11.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.46518518518518515
