date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-01-01,38.0,1008.8,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225.0
2013-01-02,27.5,1013.4,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,311.0
2013-01-03,21.8,1018.1,9.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,375.0
2013-01-04,32.2,1015.2,11.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413.0
2013-01-05,37.3,1017.3,13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,219.0
2013-01-06,35.7,1019.7,5.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,317.0
2013-01-07,35.9,1020.5,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,401.0
2013-01-08,39.8,1028.8,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.0
2013-01-09,39.9,1026.2,5.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.0
2013-01-10,43.5,1024.0,14.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,439.0
2013-01-11,38.0,1030.6,5.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199.0
2013-01-12,42.7,1022.6,7.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,376.0
2013-01-13,45.4,1020.7,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,170.0
2013-01-14,47.2,1017.5,8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,422.0
2013-01-15,42.3,1023.1,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,418.0
2013-01-16,41.6,1018.3,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.0
2013-01-17,39.4,1014.2,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,397.0
2013-01-18,28.1,1023.2,15.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,290.0
2013-01-19,35.9,1026.4,15.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,379.0
2013-01-20,46.3,1010.0,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.0
2013-01-21,31.2,1015.5,10.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99.0
2013-01-22,26.3,1011.1,10.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.0
2013-01-23,16.2,1018.6,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431.0
2013-01-24,14.3,1018.7,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,449.0
2013-01-25,19.0,1023.1,13.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125.0
2013-01-26,24.4,1016.4,10.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,458.0
2013-01-27,21.7,1025.6,16.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,339.0
2013-01-28,27.3,1028.9,7.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,404.0
2013-01-29,35.4,1019.0,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,422.0
2013-01-30,45.1,1013.9,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395.0
2013-01-31,46.5,995.5,23.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,459.0
2013-02-01,33.1,1007.0,18.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,335.0
2013-02-02,27.6,1020.9,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,371.0
2013-02-03,30.7,1012.0,9.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,285.0
2013-02-04,29.0,1008.3,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,433.0
2013-02-05,28.7,1014.6,8.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,311.0
2013-02-06,34.8,1014.9,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430.0
2013-02-07,29.4,1028.7,10.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,429.0
2013-02-08,34.3,1026.0,16.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,113.0
2013-02-09,29.2,997.4,35.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,158.0
2013-02-10,24.7,1024.4,16.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.0
2013-02-11,36.4,1022.1,9.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,370.0
2013-02-12,41.4,1006.1,11.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400.0
2013-02-13,36.1,1010.6,7.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443.0
2013-02-14,36.6,1010.5,8.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,320.0
2013-02-15,38.6,1017.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,337.0
2013-02-16,39.2,1012.3,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,362.0
2013-02-17,30.9,998.1,23.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,354.0
2013-02-18,24.6,1010.5,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89.0
2013-02-19,36.7,1019.0,10.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,388.0
2013-02-20,38.7,1004.5,16.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395.0
2013-02-21,30.6,1009.7,17.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,394.0
2013-02-22,35.4,1022.3,14.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419.0
2013-02-23,36.3,1022.9,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,418.0
2013-02-24,42.6,1004.7,17.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250.0
2013-02-25,37.5,1015.7,13.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,391.0
2013-02-26,35.0,1025.2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,414.0
2013-02-27,44.1,1014.7,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,435.0
2013-02-28,41.4,1002.1,7.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,415.0
2013-03-01,39.3,1000.8,10.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,468.0
2013-03-02,38.2,1004.0,9.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,273.0
2013-03-03,37.4,1002.6,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,390.0
2013-03-04,37.0,1002.1,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,302.0
2013-03-05,38.5,1009.5,14.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,409.0
2013-03-06,39.1,1014.7,13.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,396.0
2013-03-07,38.3,1008.2,31.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,428.0
2013-03-08,37.4,1008.1,28.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,138.0
2013-03-09,39.2,1018.9,24.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,428.0
2013-03-10,39.0,1026.9,11.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,154.0
2013-03-11,39.9,1026.1,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,420.0
2013-03-12,46.0,1018.9,13.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,298.0
2013-03-13,46.3,1007.6,13.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,366.0
2013-03-14,37.0,1007.7,10.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,449.0
2013-03-15,31.2,1009.1,18.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,483.0
2013-03-16,37.1,1008.1,10.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,417.0
2013-03-17,34.8,1014.7,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,255.0
2013-03-18,32.1,1027.6,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,409.0
2013-03-19,39.6,1012.4,16.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,438.0
2013-03-20,36.5,1007.3,17.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,432.0
2013-03-21,38.3,1006.7,10.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,392.0
2013-03-22,34.3,1003.8,13.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,319.0
2013-03-23,38.5,1006.3,15.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,282.0
2013-03-24,39.1,1008.5,10.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,371.0
2013-03-25,38.1,1003.3,9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,351.0
2013-03-26,39.8,1002.7,15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,206.0
2013-03-27,41.7,1008.3,9.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,368.0
2013-03-28,42.5,1011.7,12.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,457.0
2013-03-29,45.2,1016.4,8.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,416.0
2013-03-30,44.5,1017.4,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,409.0
2013-03-31,43.0,1019.2,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,268.0
2013-04-01,47.0,1005.8,16.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,381.0
2013-04-02,39.6,1011.4,17.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,252.0
2013-04-03,42.6,1015.8,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,367.0
2013-04-04,39.0,1023.2,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,455.0
2013-04-05,42.9,1014.7,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,329.0
2013-04-06,40.2,1018.3,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,431.0
2013-04-07,39.7,1025.8,9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,265.0
2013-04-08,50.0,1018.1,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,328.0
2013-04-09,49.4,1015.9,10.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,495.0
2013-04-10,46.5,1014.1,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,475.0
2013-04-11,46.2,1013.7,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,423.0
2013-04-12,43.6,1018.6,13.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,127.0
2013-04-13,44.4,1008.2,12.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,388.0
2013-04-14,46.1,1015.5,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,286.0
2013-04-15,46.1,1026.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,479.0
2013-04-16,46.0,1028.7,9.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,457.0
2013-04-17,52.1,1021.9,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,425.0
2013-04-18,46.5,1028.1,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,443.0
2013-04-19,52.6,1018.1,12.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,443.0
2013-04-20,52.7,1012.4,15.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,435.0
2013-04-21,45.1,1029.4,11.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,288.0
2013-04-22,43.0,1037.8,11.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,453.0
2013-04-23,44.6,1026.9,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,413.0
2013-04-24,47.5,1012.9,19.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,462.0
2013-04-25,50.8,1017.9,10.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,460.0
2013-04-26,49.5,1026.9,6.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,139.0
2013-04-27,46.6,1029.1,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,396.0
2013-04-28,48.0,1027.1,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120.0
2013-04-29,49.7,1025.5,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,336.0
2013-04-30,51.0,1026.2,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,461.0
2013-05-01,49.9,1030.2,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,458.0
2013-05-02,49.9,1030.3,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,462.0
2013-05-03,46.9,1030.0,13.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,541.0
2013-05-04,47.8,1026.5,13.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,468.0
2013-05-05,47.8,1025.3,10.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,417.0
2013-05-06,49.2,1024.3,5.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448.0
2013-05-07,54.4,1021.9,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,469.0
2013-05-08,59.4,1021.5,10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,464.0
2013-05-09,57.2,1015.2,6.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,478.0
2013-05-10,56.1,1014.8,8.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,366.0
2013-05-11,56.2,1013.1,9.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,410.0
2013-05-12,56.2,1005.6,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,424.0
2013-05-13,53.1,1013.5,11.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,456.0
2013-05-14,51.0,1015.8,11.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,395.0
2013-05-15,53.1,1016.5,12.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,297.0
2013-05-16,57.7,1006.9,12.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,451.0
2013-05-17,58.2,1013.8,10.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,337.0
2013-05-18,54.6,1025.3,5.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,421.0
2013-05-19,56.3,1027.4,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,434.0
2013-05-20,57.5,1020.4,10.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,532.0
2013-05-21,58.0,1014.3,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,386.0
