date,temp,slp,wdsp,gust,BRONX,BROOKLYN,MANHATTAN,QUEENS,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2013-01-01,38.0,1008.8,15.0,28.0,0.0,0.3333333333333333,0.05555555555555555,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-02,27.5,1013.4,12.4,25.1,0.8571428571428571,0.9473684210526315,,0.19047619047619047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-03,21.8,1018.1,9.8,24.1,,0.9298245614035088,0.7037037037037037,0.47619047619047616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-01-04,32.2,1015.2,11.3,29.9,0.9285714285714286,0.6666666666666666,0.6296296296296297,0.35714285714285715,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-05,37.3,1017.3,13.2,28.0,0.35714285714285715,,0.0,0.023809523809523808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-06,35.7,1019.7,5.9,20.0,0.25,0.0,0.05555555555555555,0.16666666666666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-07,35.9,1020.5,8.5,22.0,0.7857142857142857,0.9298245614035088,0.25925925925925924,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-08,39.8,1028.8,10.4,25.1,0.75,0.8771929824561403,0.3333333333333333,0.30952380952380953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-09,39.9,1026.2,5.3,,0.6071428571428571,0.21052631578947367,0.37037037037037035,0.8333333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-10,43.5,1024.0,14.7,32.1,0.75,0.9298245614035088,0.9074074074074074,0.38095238095238093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-01-11,38.0,1030.6,5.4,,0.9642857142857143,,,0.9285714285714286,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-12,42.7,1022.6,7.9,20.0,0.5357142857142857,0.5789473684210527,0.1111111111111111,0.5238095238095238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-13,45.4,1020.7,5.8,,,0.017543859649122806,0.037037037037037035,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-14,47.2,1017.5,8.2,21.0,1.0,0.9298245614035088,0.42592592592592593,0.42857142857142855,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-15,42.3,1023.1,8.0,,0.6428571428571429,0.5964912280701754,0.8518518518518519,0.47619047619047616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-16,41.6,1018.3,8.8,27.0,0.6428571428571429,0.8771929824561403,0.6481481481481481,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-17,39.4,1014.2,8.6,20.0,0.5,0.47368421052631576,0.7407407407407407,0.38095238095238093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-01-18,28.1,1023.2,15.0,32.1,0.5714285714285714,0.49122807017543857,,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-19,35.9,1026.4,15.3,32.1,0.39285714285714285,0.3157894736842105,0.6111111111111112,0.40476190476190477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-20,46.3,1010.0,14.9,26.0,,,0.16666666666666666,0.19047619047619047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-21,31.2,1015.5,10.1,26.0,,0.12280701754385964,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-22,26.3,1011.1,10.8,26.0,0.6071428571428571,0.5614035087719298,0.5740740740740741,0.5238095238095238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-23,16.2,1018.6,15.6,28.9,0.42857142857142855,1.0,0.6481481481481481,0.6428571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-24,14.3,1018.7,15.5,29.9,0.6785714285714286,0.8245614035087719,0.9074074074074074,0.8095238095238095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-01-25,19.0,1023.1,13.6,32.1,,,0.9259259259259259,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-26,24.4,1016.4,10.5,19.0,0.9285714285714286,0.7192982456140351,1.0,0.8809523809523809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-27,21.7,1025.6,16.3,35.0,0.35714285714285715,0.03508771929824561,0.5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-28,27.3,1028.9,7.4,20.0,0.5,0.8070175438596491,0.5185185185185185,0.38095238095238093,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-29,35.4,1019.0,4.9,,0.5357142857142857,0.7368421052631579,0.5555555555555556,0.8333333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-30,45.1,1013.9,12.4,25.1,0.25,0.38596491228070173,0.7407407407407407,0.6190476190476191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-31,46.5,995.5,23.1,39.0,0.5357142857142857,0.9649122807017544,0.8703703703703703,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-02-01,33.1,1007.0,18.2,38.1,0.36666666666666664,1.0,,0.7222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-02,27.6,1020.9,12.5,26.0,,0.8,0.5111111111111111,0.5740740740740741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-02-03,30.7,1012.0,9.8,22.9,0.4,0.62,,0.12962962962962962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-02-04,29.0,1008.3,15.5,28.0,0.9,0.82,0.15555555555555556,0.6851851851851852,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-05,28.7,1014.6,8.2,18.1,0.5666666666666667,0.44,0.8666666666666667,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-02-06,34.8,1014.9,6.1,17.1,0.43333333333333335,0.82,0.6666666666666666,0.46296296296296297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-02-07,29.4,1028.7,10.2,19.0,0.4666666666666667,0.5,0.5333333333333333,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-02-08,34.3,1026.0,16.3,51.1,,,0.6,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-09,29.2,997.4,35.3,63.9,0.16666666666666666,,,0.3888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-02-10,24.7,1024.4,16.4,36.9,,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-02-11,36.4,1022.1,9.8,28.9,0.1,0.5,0.044444444444444446,0.35185185185185186,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-12,41.4,1006.1,11.9,27.0,0.7,0.42,0.3333333333333333,0.4074074074074074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-02-13,36.1,1010.6,7.7,,0.6,0.64,0.7555555555555555,0.7037037037037037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-02-14,36.6,1010.5,8.9,21.0,0.6,,0.6666666666666666,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-02-15,38.6,1017.0,6.0,,1.0,0.42,,0.9444444444444444,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-16,39.2,1012.3,8.6,21.0,0.4666666666666667,0.18,0.13333333333333333,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-02-17,30.9,998.1,23.6,49.9,0.03333333333333333,0.38,0.28888888888888886,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-02-18,24.6,1010.5,22.0,36.9,,,0.06666666666666667,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-19,36.7,1019.0,10.6,26.0,0.43333333333333335,0.14,0.6666666666666666,0.3148148148148148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-02-20,38.7,1004.5,16.9,35.9,0.4666666666666667,0.72,0.06666666666666667,0.3888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-02-21,30.6,1009.7,17.3,29.9,0.16666666666666666,0.48,0.6,0.3148148148148148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-02-22,35.4,1022.3,14.2,28.9,0.8,0.44,0.8,0.2962962962962963,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-23,36.3,1022.9,7.0,,0.23333333333333334,0.4,0.6888888888888889,0.7222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-02-24,42.6,1004.7,17.1,38.1,0.0,0.18,0.17777777777777778,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
