"year","month","day","petrol_price","diesel_price"
2014,3,13,1.1,1.19
2017,11,15,1.1,1.2
2017,8,10,1.1,1.21
2012,12,10,1.09,1.21
2018,3,12,1.1,1.2
2011,6,21,1.11,1.21
2016,6,15,1.1,1.21
2012,9,31,1.09,1.22
2018,7,27,1.1,1.2
2020,12,18,1.09,1.2
2016,5,28,1.1,1.21
2013,2,16,1.11,1.2
2019,4,20,1.09,1.2
2011,8,8,1.1,1.2
2018,8,30,1.09,1.22
2013,8,17,1.1,1.2
2012,5,30,1.1,1.19
2011,4,15,1.1,1.2
2019,8,8,1.1,1.21
2018,11,31,1.09,1.2
2011,6,21,1.09,1.2
2020,3,28,1.1,1.22
2020,9,5,1.11,1.21
2010,8,12,1.11,1.2
2016,6,26,1.1,1.21
2020,7,22,1.08,1.23
2010,1,26,1.11,1.2
2015,10,14,1.07,1.21
2012,5,2,1.1,1.2
2020,9,9,1.08,1.21
2017,6,24,1.1,1.22
2014,10,4,1.09,1.18
2016,9,19,1.11,1.2
2013,3,21,1.09,1.2
2019,7,5,1.1,1.2
2016,6,27,1.1,1.2
2017,11,18,1.09,1.19
2019,11,5,1.1,1.19
2019,1,30,1.1,1.19
2017,12,8,1.11,1.21
2017,12,14,1.1,1.21
2016,3,26,1.1,1.22
2014,11,28,1.09,1.19
2014,12,14,1.1,1.21
2013,8,20,1.11,1.21
2016,8,30,1.08,1.2
2017,2,3,1.1,1.21
2012,4,6,1.11,1.21
2018,1,13,1.09,1.19
2013,9,18,1.1,1.2
2012,5,22,1.09,1.18
2017,4,25,1.1,1.2
2017,6,20,1.12,1.18
2011,6,6,1.11,1.18
2011,3,31,1.1,1.22
2013,1,25,1.11,1.2
2015,5,1,1.12,1.19
2013,12,4,1.09,1.2
2012,3,7,1.1,1.21
2012,7,2,1.09,1.2
2019,2,17,1.1,1.19
2014,5,3,1.08,1.2
2012,10,27,1.09,1.2
2020,11,18,1.08,1.22
2011,5,31,1.09,1.2
2019,3,21,1.09,1.21
2016,6,5,1.09,1.21
2012,7,3,1.09,1.2
2011,7,5,1.09,1.18
2010,6,22,1.11,1.2
2015,2,18,1.1,1.19
2018,8,25,1.11,1.19
2019,1,4,1.1,1.21
2011,8,8,1.09,1.21
2012,3,12,1.1,1.2
2012,11,27,1.1,1.19
2013,4,11,1.11,1.22
2012,1,13,1.09,1.2
2014,10,6,1.1,1.21
2016,9,21,1.11,1.21
2017,12,3,1.1,1.2
2012,8,4,1.1,1.22
2014,4,20,1.11,1.2
2017,6,14,1.11,1.21
