"year","month","day","petrol_price","diesel_price"
2012,3,24,1.09,1.2
2016,12,24,1.1,1.2
2014,4,10,1.1,1.2
2019,6,11,1.1,1.19
2013,9,18,1.12,1.19
2019,4,14,1.09,1.2
2012,4,6,1.09,1.2
2014,5,12,1.09,1.21
2018,4,14,1.11,1.2
2017,4,3,1.11,1.21
2015,9,24,1.09,1.19
2013,4,24,1.11,1.21
2020,12,15,1.08,1.21
2020,7,16,1.11,1.21
2013,10,23,1.09,1.19
2012,2,2,1.09,1.21
2011,1,15,1.1,1.2
2011,8,9,1.1,1.21
2016,7,13,1.09,1.2
2015,4,18,1.1,1.21
2011,11,13,1.11,1.2
2016,3,30,1.1,1.19
2017,12,20,1.09,1.21
2014,3,3,1.09,1.19
2018,6,7,1.1,1.19
2012,12,2,1.1,1.19
2013,12,14,1.11,1.2
2015,12,19,1.1,1.19
2019,4,21,1.09,1.21
2017,4,1,1.09,1.2
2018,9,24,1.1,1.21
2011,4,7,1.11,1.19
2015,8,1,1.11,1.2
2019,4,17,1.09,1.21
2017,7,6,1.1,1.21
2019,3,6,1.11,1.19
2020,6,15,1.09,1.2
2019,2,17,1.09,1.21
2020,1,19,1.11,1.19
2015,8,11,1.09,1.2
2020,6,27,1.1,1.18
2014,7,10,1.12,1.19
2015,6,12,1.09,1.2
2017,3,29,1.1,1.19
2011,11,18,1.1,1.19
2017,4,3,1.08,1.19
2010,7,19,1.09,1.21
2015,12,5,1.08,1.19
2010,2,21,1.09,1.19
2017,2,8,1.1,1.21
2017,7,23,1.1,1.21
2011,12,29,1.11,1.17
2018,1,8,1.1,1.21
2016,6,8,1.08,1.21
2012,10,26,1.09,1.19
2010,1,31,1.11,1.21
2014,6,31,1.1,1.2
2014,6,10,1.09,1.2
2011,6,25,1.1,1.2
2013,8,31,1.09,1.2
2013,7,18,1.09,1.2
2019,4,27,1.11,1.2
2017,5,7,1.11,1.2
2020,10,9,1.1,1.22
2013,11,5,1.09,1.19
2018,11,20,1.08,1.19
2011,12,25,1.09,1.19
2018,2,27,1.11,1.21
2013,7,25,1.09,1.2
2018,2,5,1.1,1.2
2012,6,3,1.1,1.18
2015,3,4,1.08,1.2
2016,7,11,1.09,1.18
2019,4,25,1.09,1.21
2018,11,31,1.1,1.2
2020,12,3,1.08,1.2
2013,1,23,1.11,1.2
2017,5,16,1.1,1.19
2012,11,13,1.1,1.21
2014,4,26,1.09,1.21
2010,8,23,1.1,1.21
2019,6,21,1.1,1.2
