day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
4,2009,01,01,2009-01-01,26.4,5.4,1024.8,10.0,8.3,18.1,28.0,46.9,19.0,0.0,999.9,0,327625
5,2009,01,02,2009-01-02,31.8,12.0,1017.0,10.0,4.6,9.9,15.9,42.1,19.9,0.0,999.9,0,376708
6,2009,01,03,2009-01-03,36.1,16.8,1016.0,10.0,5.7,12.0,19.0,44.1,24.1,0.0,999.9,0,432710
7,2009,01,04,2009-01-04,31.5,15.8,1021.0,10.0,1.2,6.0,999.9,44.1,21.9,0.0,999.9,0,367525
1,2009,01,05,2009-01-05,40.4,26.8,1016.0,9.9,2.7,11.1,17.1,50.0,22.1,0.0,999.9,0,370901
2,2009,01,06,2009-01-06,36.5,24.2,1016.8,7.5,4.5,12.0,999.9,44.1,30.2,0.03,999.9,0,427394
3,2009,01,07,2009-01-07,34.4,33.0,998.1,2.7,3.7,13.0,20.0,39.9,30.9,1.08,999.9,0,371043
4,2009,01,08,2009-01-08,37.0,24.3,999.3,9.7,9.9,17.1,25.1,41.0,32.0,0.74,999.9,0,477502
5,2009,01,09,2009-01-09,30.6,13.8,1016.3,10.0,10.5,15.9,25.1,41.0,24.1,0.0,999.9,0,520846
6,2009,01,10,2009-01-10,31.9,19.5,1022.6,9.5,5.5,12.0,999.9,37.0,25.0,0.0,999.9,0,483350
7,2009,01,11,2009-01-11,35.0,28.4,1013.6,6.9,6.3,17.1,22.0,42.1,30.9,0.19,999.9,0,405075
1,2009,01,12,2009-01-12,30.6,17.6,1021.3,10.0,5.2,13.0,19.0,39.0,21.9,0.08,999.9,0,414642
2,2009,01,13,2009-01-13,29.3,22.6,1020.3,9.1,0.7,6.0,999.9,39.0,19.9,0.0,999.9,0,442543
3,2009,01,14,2009-01-14,27.4,10.0,1017.3,9.9,9.0,20.0,29.9,39.0,19.9,0.0,999.9,0,489177
4,2009,01,15,2009-01-15,24.6,9.4,1021.9,10.0,7.3,15.9,27.0,35.1,18.0,0.0,999.9,0,486450
5,2009,01,16,2009-01-16,13.8,-3.7,1034.6,10.0,8.4,17.1,24.1,27.0,10.0,0.0,999.9,0,535200
6,2009,01,17,2009-01-17,11.7,-3.9,1035.0,10.0,3.2,8.9,999.9,21.2,1.9,0.0,999.9,0,511023
7,2009,01,18,2009-01-18,29.6,8.6,1016.0,10.0,4.2,8.9,15.9,36.0,19.0,0.0,999.9,0,419962
1,2009,01,19,2009-01-19,26.1,20.1,1005.9,6.5,2.8,8.9,999.9,36.0,18.0,0.0,999.9,0,352534
2,2009,01,20,2009-01-20,23.6,12.6,1007.1,8.9,6.0,13.0,19.0,32.0,16.0,0.01,999.9,0,433639
3,2009,01,21,2009-01-21,22.9,6.2,1014.7,10.0,8.1,13.0,22.9,30.9,16.0,0.0,999.9,0,478268
4,2009,01,22,2009-01-22,26.6,6.4,1017.8,10.0,3.5,9.9,14.0,43.0,12.9,0.0,999.9,0,498241
5,2009,01,23,2009-01-23,33.5,16.7,1015.6,9.9,2.0,7.0,999.9,55.0,12.9,0.0,999.9,0,519394
6,2009,01,24,2009-01-24,38.4,20.9,1015.1,9.8,8.4,18.1,25.1,55.0,21.0,0.0,999.9,0,547591
7,2009,01,25,2009-01-25,25.0,5.7,1027.2,10.0,4.2,13.0,19.0,33.1,16.0,0.0,999.9,0,460723
1,2009,01,26,2009-01-26,26.3,11.8,1029.4,9.5,3.1,7.0,999.9,33.1,17.1,0.0,999.9,0,434081
